=== DIAGNÓSTICO: Logs do transformer (broken-v2) ===
transformer-1  | [transformer] starting on port 8100 version=broken-v2
internal-api-mock-1  |  * Debug mode: off
internal-api-mock-1  | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
internal-api-mock-1  |  * Running on all addresses (0.0.0.0)
internal-api-mock-1  |  * Running on http://127.0.0.1:8200
internal-api-mock-1  |  * Running on http://172.25.0.2:8200
internal-api-mock-1  | [33mPress CTRL+C to quit[0m
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:25:10] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:25:21] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:25:32] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:25:43] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:25:55] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:26:06] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:26:17] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:26:27] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | [internal-api-mock] accepted legacy_order_id=EXT-2026-0001
internal-api-mock-1  | 172.25.0.3 - - [05/May/2026 16:26:34] "[35m[1mPOST /legacy/orders HTTP/1.1[0m" 201 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:26:38] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | [internal-api-mock] accepted legacy_order_id=EXT-2026-0001
internal-api-mock-1  | 172.25.0.3 - - [05/May/2026 16:26:39] "[35m[1mPOST /legacy/orders HTTP/1.1[0m" 201 -
internal-api-mock-1  | [internal-api-mock] accepted legacy_order_id=EXT-2026-0001
internal-api-mock-1  | 172.25.0.3 - - [05/May/2026 16:26:45] "[35m[1mPOST /legacy/orders HTTP/1.1[0m" 201 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:26:49] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:27:00] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:27:11] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:27:22] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:27:33] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:27:44] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:27:55] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:28:06] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:28:17] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:28:29] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:28:40] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:28:51] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:29:02] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:29:14] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:29:25] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:29:37] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:29:49] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:30:00] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:30:12] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:30:24] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:30:35] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:30:46] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:30:57] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:31:09] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:31:20] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:31:31] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:31:43] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:31:54] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:32:06] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:32:17] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:32:29] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:32:40] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:32:52] "GET /health HTTP/1.1" 200 -
internal-api-mock-1  | 127.0.0.1 - - [05/May/2026 16:33:04] "GET /health HTTP/1.1" 200 -
